specimen,plant_name,country,fst_political,snd_political,locality,habitat,elevation,latitude_decimal,longitude_decimal,collector,collector_number,collection_date,specimen_data,MO,NY,F,US,UC,RSA,GH,L,K,E,GOET,BR,LIL,CORD,CTES,SP,RB,REU,ANDES,SPF,CONC,SI,MOLF,LPB,USZ
EW548,Escallonia pulverulenta (Ruiz & Pav.) Pers.,Chile,Maule,Curico,Hacienda Monte Grande,,800,-35.2333333333333,-71.0666666666667,E. Werdermann,548,1-Mar-1924,,1,1,1,,1,,1,,1,1,,,,,,,,,,,,,,,
FB3541,Escallonia pulverulenta (Ruiz & Pav.) Pers.,Chile,Biobio,Concepción,Route d'Angol vers P.N. Nahuelbuta,Fourrés le long de la route,550,-37.8105555555556,-72.8611111111111,F. Billiet,3541,1-Jan-1985,Arbuste; inflor. en épis cylindriques; fl. Blanc-vert,1,,,,,,,,,,,1,,,,,,,,,,,,,
FZ118,Escallonia pulverulenta (Ruiz & Pav.) Pers.,Chile,Biobio,Concepción,Campus Universidad de Concepción,"Claramente cultivado en el campus de la U, pero nativa de la región (e.g. en Hualpén).",30,-36.8266666666667,-73.0416666666667,F. Zapata,118,4-Nov-2005,Arbusto 2 m; hojas algo glutinosas; botones florales verdosos.,,,,,,,,,,,,,,,,,,,,,,,,,
FZ122,Escallonia pulverulenta (Ruiz & Pav.) Pers.,Chile,Santiago,Santiago,Río Clarillo,En ladera pedregosa junto a E.cf.rubra y E.cf.myrtoidea.,954,-33.7291666666667,-70.4705555555556,F. Zapata,122,5-Nov-2005,arbusto 1.7 m; hojas glutinosas; no flores; no frutos.,,,,,,,,,,,,,,,,,,,,,,,,,
FZ361,Escallonia pulverulenta (Ruiz & Pav.) Pers.,Chile,Biobio,Concepción,"Nacimiento, camino viniendo de Maitenrehue en el cruce de desvío hacia Angol-Nacimiento",Bosque intervenido mezcado con Pinus. Suelo muy seco,354,-37.6877777777778,-72.7272222222222,"F. Zapata, S. Sede",361,19-Jan-2008,Arbolito de 1.8 m; flores blancas,1,,,,,,,,,,,,,,,,,,,,1,,,,
FZ95,Escallonia pulverulenta (Ruiz & Pav.) Pers.,Chile,Coquimbo,Pichidangui,Ascenso al Cerro Santa Inés,En zona de vegetación semi-árida (esclerófila). Muy común. Creciendo con Cassia sp. y Bacharis sp.,400,-32.1416666666667,-71.4827777777778,F. Zapata,95,1-Oct-2005,"Arbusto 1-2 m; hojas jóvenes rojizas, pegajosas; inflorescencias jóvenes (botones) blancos; frutos secos con estigma bífido.",,,,,,,,,,,,,,,,,,,,,,,,,
FZ96,Escallonia pulverulenta (Ruiz & Pav.) Pers.,Chile,Coquimbo,Pichidangui,Cerro Santa Inés,"En Borde de Bosque en pastizales junto a arbustos de Kageneckia, Litre y Myrceugenia.",671,-32.1625,-71.4275,F. Zapata,96,1-Oct-2005,Arbusto 2 m; no flores; frutos secos con estigma bífido.,,,,,,,,,,,,,,,,,,,,,,,,,
JS148,Escallonia pulverulenta (Ruiz & Pav.) Pers.,Chile,Valparaiso,Valparaiso,"Cuesta ""La Dormida"", 10 km west from Tiltil, on road to copper mine",Ravines and moister hillsides,1200,-33.04,-71.0161111111111,J.P. Simon,148,26-Dec-1970,"With Colliguaya, Azara, Ribes, Phacelia.  N.V. ""corontillo, mardoño""",,,,,1,1,,,,,,,,,,,,,,,,,,,
JS4959,Escallonia pulverulenta (Ruiz & Pav.) Pers.,Chile,Santiago,Santiago,Cuesta de Chacabuco,,1100,-33.035,-70.6333333333333,J. Salvo,4959,9-Nov-1986,,1,,,,,,,,,,,,,,,,,,,,,,,,
LL3831,Escallonia pulverulenta (Ruiz & Pav.) Pers.,Chile,Valparaiso,Playa Mirasol,"About 36 km north of San Antonio (ca 33 20 S, 71 40 W).  Steep 20-30 m high slopes and adjacent beaches","Succulents (cacti, Calandrina) and sclerophyllous shrubs (Myrceugenia, Cryptocarya, Lithrea) dominates",100,-33.45,-71.5666666666667,L.R. Landrum,3831,11-Nov-1981,Shrub ca. 3 m high; flowers white,,1,,,,,,1,,,,,,,,,,,,,,,,,
